comparison_mode,comparison_label,player_id,player_name,post_soldier_rounds,post_team_damage_per_round,post_damage_per_round,post_kd,post_kills_per_round,post_deaths_per_round,post_friendly_damage_pct,pre_soldier_rounds,pre_team_damage_per_round,pre_damage_per_round,pre_kd,pre_kills_per_round,pre_deaths_per_round,pre_friendly_damage_pct,soldier_rounds_pct_change,team_damage_per_round_pct_change,damage_per_round_pct_change,kd_pct_change,kills_per_round_pct_change,deaths_per_round_pct_change,friendly_damage_pct_pct_change
equal_time,Equal Time,STEAM_0:0:116972,RedAlert,21,1184.6666666666667,7808.285714285715,1.2519440124416796,38.333333333333336,30.61904761904762,13.173278546163132,1,1176.0,7544.0,0.8709677419354839,27.0,31.0,13.486238532110091,2000.0,0.7369614512471719,3.503257082260269,43.74171994700767,41.97530864197532,-1.2288786482334826,-2.3205876508992196
equal_time,Equal Time,STEAM_0:0:84622,-FOOC- MightyMouse,4,853.25,10006.25,2.0106382978723403,47.25,23.5,7.857175744739629,11,1483.3636363636363,10160.545454545454,2.1535714285714285,54.81818181818182,25.454545454545453,12.739395548199214,-63.63636363636363,-42.4787031929889,-1.5185745217686906,-6.637027627818358,-13.805970149253733,-7.6785714285714235,-38.323794759239696
equal_time,Equal Time,STEAM_0:0:855795148,ari,3,842.3333333333334,9996.333333333334,1.7692307692307692,46.0,26.0,7.7715586172961,9,1288.111111111111,7145.222222222223,1.3478260869565217,34.44444444444444,25.555555555555557,15.274044795783926,-66.66666666666667,-34.60709048563788,39.90234344628112,31.265508684863516,33.5483870967742,1.7391304347826024,-49.11918407204572
equal_time,Equal Time,STEAM_0:1:16295419,are.nz.i,0,0,0,0,0,0,0,2,2006.0,8022.0,1.15625,37.0,32.0,20.003988831272437,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
equal_time,Equal Time,STEAM_0:0:645065,|BC| Cool_dude69,0,0,0,0,0,0,0,2,1978.5,8089.0,1.293103448275862,37.5,29.0,19.6523466600447,-100.0,-100.0,-100.0,-100.00000000000001,-100.0,-100.0,-100.0
equal_time,Equal Time,STEAM_0:0:22020435,Microwaveable Infant,0,0,0,0,0,0,0,5,1978.0,7670.6,1.0681818181818181,37.6,35.2,20.500383475322845,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
equal_time,Equal Time,STEAM_0:0:11458044,cole,0,0,0,0,0,0,0,1,1911.0,10358.0,1.5,60.0,40.0,15.57584155187872,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
equal_time,Equal Time,STEAM_0:0:12161876,[MOS]GhostH,0,0,0,0,0,0,0,9,1875.4444444444443,6864.333333333333,0.939297124600639,32.666666666666664,34.77777777777778,21.458720028477714,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
equal_time,Equal Time,STEAM_0:0:108427761,Hewber,1,1198.0,6462.0,1.1081081081081081,41.0,37.0,15.639686684073107,1,676.0,6842.0,0.7647058823529411,26.0,34.0,8.991753125831337,0.0,77.2189349112426,-5.553931598947676,44.90644490644492,57.69230769230769,8.823529411764707,73.93367528233969
equal_time,Equal Time,STEAM_0:1:131282,light,15,788.2666666666667,6373.733333333334,0.8536036036036037,25.266666666666666,29.6,11.006236619193894,10,1000.6,6971.7,0.9207920792079208,27.9,30.3,12.550957691005106,50.0,-21.220600972749686,-8.577056767598524,-7.29681294197423,-9.438470728793307,-2.310231023102308,-12.307595243654331
